Number,SAT,Pairs,Evals,Backtracks,Runtime
1,True,40,38,18,12.942288398742676
2,True,44,11,3,10.053102493286133
3,True,41,7,2,9.93465805053711
4,True,45,18,6,12.374707221984863
5,True,44,58,28,11.804728984832764
6,True,45,32,14,12.758362293243408
7,True,48,22,9,11.375466108322144
8,True,43,19,6,11.009182214736938
9,True,45,9,2,10.110132455825806
10,True,46,49,22,13.11869215965271
11,True,44,14,6,11.406816244125366
12,True,43,50,24,15.093448400497437
13,True,49,16,7,10.83273434638977
14,True,43,18,7,12.097834587097168
15,True,50,84,40,17.173595666885376
16,True,46,48,23,15.911086082458496
17,True,44,30,14,12.359956741333008
18,True,47,40,16,12.51305079460144
19,True,49,58,27,14.355204105377197
20,True,45,6,0,9.444885730743408
21,True,42,82,37,19.027673482894897
22,True,48,7,2,9.599393606185913
23,True,47,9,2,10.036559820175171
24,True,50,28,13,11.33689284324646
25,True,46,21,9,11.41626262664795
26,True,44,105,52,12.614518404006958
27,True,43,27,11,13.241490840911865
28,True,49,6,2,10.798746109008789
29,True,47,38,15,11.51935338973999
30,True,52,27,12,10.900019645690918
31,True,46,15,5,10.303872108459473
32,True,45,37,18,12.354098081588745
33,True,52,16,5,9.550935506820679
34,True,41,11,2,9.414106369018555
35,True,46,26,9,9.920092344284058
36,True,46,8,1,9.835773706436157
37,True,40,3,0,9.050989627838135
38,True,42,23,10,10.912527084350586
39,True,44,7,1,10.052454948425293
40,True,45,19,6,10.685482501983643
41,True,46,36,17,12.480570793151855
42,True,46,9,2,9.48910403251648
43,True,44,14,6,9.839507341384888
44,True,45,5,0,9.031728982925415
45,True,42,11,4,9.677887201309204
46,True,41,74,36,12.78756856918335
47,True,45,71,34,15.164743185043335
48,True,45,29,11,11.561594009399414
49,True,41,45,21,12.202141761779785
50,True,43,36,16,11.941699981689453
51,True,44,28,13,12.455543279647827
52,True,47,13,4,9.617395877838135
53,True,45,4,0,9.258069515228271
54,True,40,18,7,11.145629644393921
55,True,41,10,2,9.41112756729126
56,True,40,13,5,9.93873143196106
57,True,43,73,34,14.613574266433716
58,True,42,10,4,10.763102293014526
59,True,51,14,5,9.701971769332886
60,True,28,23,10,10.063365697860718
61,True,44,22,10,11.111057758331299
62,True,43,12,3,9.376722812652588
63,True,43,21,8,10.05525803565979
64,True,43,78,37,16.185290575027466
65,True,44,5,0,9.818794250488281
66,True,43,35,16,13.948764562606812
67,True,44,17,7,10.893187999725342
68,True,45,30,12,11.331144571304321
69,True,45,18,8,11.089802503585815
70,True,39,64,29,13.930769681930542
71,True,44,9,2,9.903983354568481
72,True,43,40,19,13.110562086105347
73,True,47,22,10,11.743452310562134
74,True,45,14,4,11.579688549041748
75,True,52,64,31,12.647007703781128
76,True,49,10,1,9.589900255203247
77,True,42,9,2,10.3054039478302
78,True,45,10,2,10.065997123718262
79,True,30,300,148,30.436778783798218
80,True,47,8,2,9.943628787994385
81,True,42,13,4,11.055193662643433
82,True,43,45,20,12.528920888900757
83,True,49,28,11,10.62077021598816
84,True,48,24,11,10.99466848373413
85,True,46,5,0,10.12259817123413
86,True,47,22,8,10.169426441192627
87,True,40,104,51,15.981034278869629
88,True,46,10,2,10.641897201538086
89,True,43,4,0,9.640454053878784
90,True,44,4,0,9.736624240875244
91,True,49,20,8,10.484360456466675
92,True,44,6,1,9.980473041534424
93,True,29,3,0,9.827545404434204
94,True,43,25,10,11.651225328445435
95,True,42,18,7,10.205618858337402
96,True,41,17,5,10.078954219818115
97,True,44,7,3,9.889857292175293
98,True,50,36,15,12.684798955917358
99,True,44,92,45,13.747182369232178
100,True,46,11,1,9.443189859390259
101,True,31,128,63,22.457465887069702
102,True,31,95,46,17.837865114212036
103,True,29,12,3,10.020011901855469
104,True,47,9,3,9.679640769958496
105,True,46,15,5,9.875859260559082
106,True,43,16,7,10.832072257995605
107,True,42,21,8,10.298331260681152
108,True,40,9,0,10.111233234405518
109,True,40,57,26,12.11666226387024
110,True,42,22,10,11.207773208618164
111,True,38,37,15,11.302331447601318
112,True,46,31,14,12.054713487625122
113,True,45,36,16,11.725139856338501
114,True,28,108,52,18.85707116127014
115,True,44,10,2,9.814052820205688
116,True,28,18,6,10.001830577850342
117,True,47,20,8,10.423546075820923
118,True,47,9,1,9.326031684875488
119,True,39,56,27,14.077499151229858
120,True,44,14,5,9.638747215270996
121,True,42,46,22,13.858632564544678
122,True,43,31,13,12.319770336151123
123,True,45,8,2,9.574146270751953
124,True,43,13,5,10.26818585395813
125,True,48,7,1,10.317590475082397
126,True,29,54,26,13.872411251068115
127,True,43,6,1,9.231277704238892
128,True,51,50,22,12.1489737033844
129,True,46,12,5,9.954987049102783
130,True,46,9,1,9.780054569244385
131,True,46,9,1,9.109389305114746
132,True,47,27,12,11.19101071357727
133,True,47,36,17,11.647062540054321
134,True,44,4,0,9.929194211959839
135,True,43,7,2,9.729502439498901
136,True,48,17,6,10.072415828704834
137,True,46,7,1,9.607180833816528
138,True,41,4,0,9.356184482574463
139,True,44,6,1,9.481194257736206
140,True,48,9,1,9.751776456832886
141,True,44,16,6,10.07744312286377
142,True,45,10,2,10.057485580444336
143,True,46,13,5,10.04451584815979
144,True,31,75,34,16.769137859344482
145,True,31,73,32,16.686275720596313
146,True,31,160,79,24.023624658584595
147,True,31,164,81,25.246943712234497
148,True,47,31,15,11.455254554748535
149,True,46,10,4,10.361401557922363
150,True,43,9,1,10.361669778823853
151,True,43,42,19,12.580008745193481
152,True,43,45,22,13.801714420318604
153,True,45,24,10,12.493250370025635
154,True,45,11,2,10.16786813735962
155,True,45,10,0,10.147356748580933
156,True,50,11,4,10.556535005569458
157,True,47,10,3,9.75632643699646
158,True,42,47,22,13.84292221069336
159,True,44,19,8,11.027569055557251
160,True,47,25,10,11.350208282470703
161,True,48,4,0,9.287087202072144
162,True,44,19,9,10.83277440071106
163,True,41,8,2,10.172586679458618
164,True,48,16,5,9.736594676971436
165,True,51,25,9,10.473748207092285
166,True,49,11,1,9.466660499572754
167,True,48,17,7,10.06325387954712
168,True,43,12,4,10.98371934890747
169,True,41,24,9,11.297325372695923
170,True,40,16,6,9.723986148834229
171,True,47,5,0,9.485639333724976
172,True,45,22,10,15.65334701538086
173,True,45,33,14,13.191142559051514
174,True,50,33,16,15.180496215820312
175,True,43,11,3,9.633879661560059
176,True,42,5,0,9.06848955154419
177,True,46,19,7,10.765283107757568
178,True,41,78,38,13.88467526435852
179,True,50,12,3,9.385307788848877
180,True,43,20,8,10.440513134002686
181,True,42,4,0,9.839436531066895
182,True,44,136,67,15.772125482559204
183,True,42,34,14,11.12247920036316
184,True,46,28,11,11.905061721801758
185,True,44,32,15,10.574944019317627
186,True,43,13,4,12.337271213531494
187,True,43,71,34,15.906957387924194
188,True,42,27,12,14.949695825576782
189,True,43,34,15,16.59097456932068
190,True,46,12,1,12.225943803787231
191,True,43,51,24,15.080333709716797
192,True,44,13,6,16.175296545028687
193,True,43,35,17,14.070737838745117
194,True,47,23,8,10.402345895767212
195,True,48,17,8,11.506556749343872
196,True,46,14,5,11.466728210449219
197,True,44,5,0,9.79057002067566
198,True,45,3,0,10.420586824417114
199,True,43,7,0,9.75602650642395
200,True,44,14,2,9.241680383682251
201,True,44,12,4,10.353570699691772
202,True,41,97,48,20.466946125030518
203,True,48,23,10,11.362031936645508
204,True,41,74,35,17.797872066497803
205,True,48,6,1,10.698809385299683
206,True,45,7,3,10.466924905776978
207,True,45,8,0,9.84022068977356
208,True,47,31,12,11.556756734848022
209,True,45,10,3,10.862539052963257
210,True,41,6,0,10.670650005340576
211,True,47,13,4,11.647166013717651
212,True,47,59,28,12.101580381393433
213,True,42,6,1,11.025700569152832
214,True,46,31,13,11.307425260543823
215,True,43,16,5,11.500821113586426
216,True,49,41,20,11.582826137542725
217,True,45,36,15,14.282636165618896
218,True,47,20,9,11.664768934249878
219,True,47,13,6,11.090979814529419
220,True,45,8,2,9.989781856536865
221,True,44,35,17,15.504921913146973
222,True,41,17,6,10.837836980819702
223,True,43,26,11,11.544013023376465
224,True,48,32,14,11.952517032623291
225,True,38,76,37,18.232441186904907
226,True,47,10,2,10.182399988174438
227,True,44,19,6,11.389689683914185
228,True,47,20,7,10.99976134300232
229,True,43,14,6,11.136537313461304
230,True,47,14,5,11.457127571105957
231,True,37,21,9,12.708423852920532
232,True,43,23,10,12.75957989692688
233,True,49,15,6,11.350892305374146
234,True,45,6,0,9.710703611373901
235,True,45,9,1,10.082882165908813
236,True,44,61,25,12.904272079467773
237,True,43,20,8,11.426683902740479
238,True,49,26,11,12.748024702072144
239,True,45,64,31,15.262556552886963
240,True,46,37,15,14.131347894668579
241,True,47,9,0,10.644321203231812
242,True,43,6,0,10.04358196258545
243,True,45,9,3,10.090245246887207
244,True,47,23,9,10.936408281326294
245,True,42,45,21,13.784358263015747
246,True,40,5,0,10.237738370895386
247,True,40,52,23,13.99526834487915
248,True,47,19,8,11.824137926101685
249,True,47,27,11,11.394295930862427
250,True,45,35,14,12.512030124664307
251,True,43,25,11,11.67243218421936
252,True,46,71,34,11.711206674575806
253,True,44,49,22,11.013412952423096
254,True,46,15,6,11.524141073226929
255,True,44,68,33,16.385650634765625
256,True,41,38,16,13.403826713562012
257,True,41,63,28,13.973522663116455
258,True,44,14,5,11.113190174102783
259,True,46,9,2,10.273924827575684
260,True,45,24,11,12.305001497268677
261,True,47,23,11,11.130056142807007
262,True,46,7,1,10.037652730941772
263,True,42,26,9,11.495075464248657
264,True,44,14,5,9.981976509094238
265,True,49,3,0,10.157211780548096
266,True,48,14,6,11.014974117279053
267,True,43,66,31,13.653547286987305
268,True,44,20,9,10.942132949829102
269,True,44,15,6,10.94516134262085
270,True,47,15,5,10.980226278305054
271,True,51,44,20,13.193083047866821
272,True,43,4,0,9.482755184173584
273,True,48,23,11,12.610499620437622
274,True,44,9,4,10.988412141799927
275,True,46,35,15,12.676774978637695
276,True,47,44,20,11.156152725219727
277,True,46,28,12,11.534648180007935
278,True,44,17,6,11.178280591964722
279,True,42,25,11,12.022601842880249
280,True,47,8,1,10.168439149856567
281,True,41,22,8,10.78211259841919
282,True,42,10,4,12.403119564056396
283,True,42,39,18,12.970253467559814
284,True,43,54,25,13.906186580657959
285,True,43,31,14,13.74137806892395
286,True,45,33,15,11.608882665634155
287,True,44,15,6,9.616326808929443
288,True,46,43,20,11.948787450790405
289,True,46,30,12,12.289041996002197
290,True,44,16,6,10.564595699310303
291,True,47,24,10,11.698505163192749
292,True,27,6,0,9.713765859603882
293,True,34,39,17,13.477007389068604
294,True,47,6,0,9.773046016693115
295,True,30,59,28,17.59480571746826
296,True,42,4,0,10.012739181518555
297,True,47,38,15,12.104587078094482
298,True,43,15,4,9.710101127624512
299,True,47,33,15,13.038097620010376
300,True,43,80,39,17.39979577064514
301,True,45,11,2,10.054438591003418
302,True,43,40,17,12.927877426147461
303,True,42,41,19,13.852569818496704
304,True,47,17,7,11.280949592590332
305,True,45,8,2,10.144184112548828
306,True,45,33,11,10.894557237625122
307,True,45,83,40,16.940061330795288
308,True,43,24,8,11.066635131835938
309,True,42,25,12,12.51067590713501
310,True,46,14,4,10.01588773727417
311,True,27,70,32,15.604149341583252
312,True,50,16,6,10.402019739151001
313,True,46,12,4,10.173055648803711
314,True,47,14,6,10.82565689086914
315,True,42,41,20,13.155077457427979
316,True,43,19,7,12.014176368713379
317,True,47,18,6,10.61676549911499
318,True,43,24,9,12.468306064605713
319,True,29,63,29,13.41190242767334
320,True,46,25,9,11.417961359024048
321,True,30,31,14,13.906723499298096
322,True,30,85,42,15.558457851409912
323,True,43,53,23,14.72496509552002
324,True,46,22,10,11.480535745620728
325,True,49,49,22,14.674942255020142
326,True,41,39,18,14.706177711486816
327,True,46,11,4,11.107301712036133
328,True,51,15,4,10.160732507705688
329,True,31,35,16,12.171931982040405
330,True,31,8,3,10.905518293380737
331,True,28,14,5,12.83028244972229
332,True,46,38,18,12.055314064025879
333,True,44,15,4,10.733978033065796
334,True,44,22,9,11.363574504852295
335,True,50,41,20,12.602204322814941
336,True,49,53,24,12.025830268859863
337,True,40,47,21,14.566004991531372
338,True,42,11,4,10.830305099487305
339,True,43,36,17,13.506384372711182
340,True,43,9,2,9.99221396446228
341,True,49,19,8,11.694655656814575
342,True,44,9,4,10.569200277328491
343,True,48,40,18,11.532073020935059
344,True,44,51,25,14.37079930305481
345,True,50,26,10,10.968459606170654
346,True,50,8,1,9.75706672668457
347,True,45,12,3,10.723695278167725
348,True,48,4,0,9.848614692687988
349,True,47,36,16,11.760861158370972
350,True,44,11,5,10.831035137176514
351,True,45,13,5,10.697932958602905
352,True,43,31,13,13.376540422439575
353,True,43,57,24,14.309304237365723
354,True,47,11,3,10.409380435943604
355,True,46,6,1,10.276090860366821
356,True,43,14,4,10.168697118759155
357,True,44,51,24,12.911311149597168
358,True,44,37,16,11.791720628738403
359,True,43,18,7,13.412217378616333
360,True,50,30,14,12.834867000579834
361,True,46,57,28,12.922021389007568
362,True,49,21,8,11.119104862213135
363,True,43,12,2,10.327061176300049
364,True,43,63,30,18.00229239463806
365,True,44,76,37,16.356772661209106
366,True,47,38,18,13.174527168273926
367,True,51,61,27,13.67946982383728
368,True,43,23,9,11.02859377861023
369,True,50,22,10,11.279697895050049
370,True,48,58,27,11.327844858169556
371,True,43,5,1,9.540295600891113
372,True,47,38,18,11.923827171325684
373,True,50,12,4,10.31023097038269
374,True,47,7,1,10.009419441223145
375,True,46,18,6,12.16945767402649
376,True,49,27,12,10.758827686309814
377,True,45,34,15,12.529131174087524
378,True,43,14,5,10.785321950912476
379,True,43,6,1,9.65924072265625
380,True,43,9,1,10.694308996200562
381,True,49,24,8,10.571962118148804
382,True,43,33,12,10.846033573150635
383,True,46,70,33,17.06126832962036
384,True,45,12,1,9.861702680587769
385,True,46,74,35,15.729708194732666
386,True,46,9,2,10.8739755153656
387,True,46,100,49,18.18438196182251
