Number,SAT,Pairs,Evals,Backtracks,Runtime
1,True,40,30,12,26.437851905822754
2,True,44,68,32,24.392761945724487
3,True,41,71,35,32.73728394508362
4,True,45,60,29,23.686487674713135
5,True,44,5,1,18.3533616065979
6,True,45,48,22,30.820146799087524
7,True,48,21,9,23.215538263320923
8,True,43,52,25,20.876193046569824
9,True,45,9,3,15.172940492630005
10,True,46,163,80,36.12768912315369
11,True,44,35,15,20.03275179862976
12,True,43,253,124,38.533937215805054
13,True,49,6,1,14.298137187957764
14,True,43,16,6,16.4229416847229
15,True,50,239,119,40.92480516433716
16,True,46,18,7,16.843393325805664
17,True,44,100,49,32.049474239349365
18,True,47,89,43,28.814866304397583
19,True,49,162,80,36.79933023452759
20,True,45,12,3,15.079185962677002
21,True,42,14,4,15.5010244846344
22,True,48,10,3,15.173147678375244
23,True,47,87,42,22.454686164855957
24,True,50,38,16,16.68873953819275
25,True,46,159,77,33.15847325325012
26,True,44,194,95,25.251606464385986
27,True,43,39,18,20.53299045562744
28,True,49,58,28,20.657707452774048
29,True,47,11,3,14.4073486328125
30,True,52,9,2,14.579125881195068
31,True,46,15,6,15.016906976699829
32,True,45,46,21,19.891904830932617
33,True,52,24,11,15.626205444335938
34,True,41,14,5,15.344997644424438
35,True,46,84,40,24.180519342422485
36,True,46,139,66,29.112046241760254
37,True,40,49,24,24.37900137901306
38,True,42,93,45,28.352318048477173
39,True,44,174,85,37.525243043899536
40,True,45,167,82,36.591506004333496
41,True,46,41,19,20.308239698410034
42,True,46,15,4,14.790529012680054
43,True,44,41,18,18.71081781387329
44,True,45,140,68,29.441531896591187
45,True,42,34,14,17.6523756980896
46,True,41,24,10,16.473004817962646
47,True,45,34,15,18.232785940170288
48,True,45,88,42,23.626803636550903
49,True,41,22,7,15.644071340560913
50,True,43,96,46,22.278433322906494
51,True,44,69,33,24.27499747276306
52,True,47,20,8,14.980888605117798
53,True,45,30,12,15.949440002441406
54,True,40,32,15,17.37717843055725
55,True,41,6,1,14.308115482330322
56,True,40,65,31,21.074599981307983
57,True,43,34,14,18.343629360198975
58,True,42,48,22,19.83789563179016
59,True,51,74,34,22.16256308555603
60,True,28,120,59,26.81955337524414
61,True,44,17,7,16.0199236869812
62,True,43,15,5,15.378173112869263
63,True,43,107,53,26.37353491783142
64,True,43,83,39,24.556118726730347
65,True,44,8,2,14.166624784469604
66,True,43,28,13,18.24403190612793
67,True,44,6,1,14.42313814163208
68,True,45,95,47,26.659470558166504
69,True,45,55,25,23.408621072769165
70,True,39,10,3,14.901488304138184
71,True,44,58,27,18.600881099700928
72,True,43,20,8,16.453850269317627
73,True,47,22,8,15.496469020843506
74,True,45,66,32,24.09108257293701
75,True,52,13,5,15.061517477035522
76,True,49,7,2,14.484342098236084
77,True,42,15,5,16.29163432121277
78,True,45,4,1,14.12489366531372
79,True,30,56,26,20.03684425354004
80,True,47,37,15,17.09874439239502
81,True,42,67,32,24.172147750854492
82,True,43,5,1,14.38990831375122
83,True,49,26,10,14.901174545288086
84,True,48,16,7,15.901938676834106
85,True,46,30,14,16.258010864257812
86,True,47,12,4,15.120283603668213
87,True,40,68,31,20.431630849838257
88,True,46,92,45,26.93588137626648
89,True,43,33,15,18.027496337890625
90,True,44,4,1,14.542384624481201
91,True,49,20,8,15.251347541809082
92,True,44,20,9,16.702567100524902
93,True,29,13,4,14.854732751846313
94,True,43,119,58,31.03451657295227
95,True,42,21,9,16.354341506958008
96,True,41,21,10,19.12029719352722
97,True,44,22,10,17.678626775741577
98,True,50,34,15,16.66286826133728
99,True,44,58,27,22.377244234085083
100,True,46,18,7,15.101740837097168
101,True,31,43,17,19.611399173736572
102,True,31,39,15,18.97388195991516
103,True,29,17,6,15.552282571792603
104,True,47,16,4,15.083960056304932
105,True,46,47,23,22.02181053161621
106,True,43,28,13,18.257348775863647
107,True,42,27,12,18.074393033981323
108,True,40,45,21,21.54366970062256
109,True,40,106,51,26.13759994506836
110,True,42,30,14,17.96547770500183
111,True,38,16,7,18.640751361846924
112,True,46,7,2,14.572677373886108
113,True,45,6,1,14.664545774459839
114,True,28,11,4,16.55789542198181
115,True,44,23,10,16.97331166267395
116,True,28,14,4,15.00924825668335
117,True,47,8,2,14.397216796875
118,True,47,17,6,15.727892398834229
119,True,39,57,27,21.209486484527588
120,True,44,15,6,14.870238304138184
121,True,42,29,13,18.14110517501831
122,True,43,73,34,22.08001160621643
123,True,45,6,1,14.390844345092773
124,True,43,17,6,15.79129433631897
125,True,48,11,4,15.526849508285522
126,True,29,66,32,26.207995653152466
127,True,43,13,4,15.386715173721313
128,True,51,75,35,17.93725275993347
129,True,46,90,44,21.641867876052856
130,True,46,25,11,15.279301166534424
131,True,46,17,6,15.277012586593628
132,True,47,15,5,15.737184524536133
133,True,47,17,7,15.860766410827637
134,True,44,28,13,18.110756158828735
135,True,43,39,17,17.438726663589478
136,True,48,5,1,15.005062818527222
