Number,SAT,Pairs,Evals,Backtracks,Runtime
854,True,50,22,9,8.828176975250244
855,True,47,20,8,9.07490611076355
856,True,46,13,4,8.392529964447021
857,True,44,5,2,8.108558177947998
858,True,45,15,6,8.874201774597168
859,True,48,28,12,9.285162925720215
860,True,49,20,9,9.39562702178955
861,True,47,5,1,8.308689832687378
862,True,49,19,8,9.149602174758911
863,True,48,39,19,11.255855798721313
864,True,47,43,19,9.478962182998657
865,True,41,22,10,9.039297103881836
866,True,40,32,15,11.336220979690552
867,True,49,10,2,8.3006751537323
868,True,48,31,15,10.95081090927124
869,True,46,5,1,8.292013168334961
870,True,43,18,6,8.715144872665405
871,True,49,29,13,9.443700075149536
872,True,47,3,0,7.922806024551392
873,True,46,6,0,8.016931056976318
874,True,46,5,2,8.355653047561646
875,True,48,12,5,8.656819105148315
876,True,31,43,20,12.421802043914795
877,True,44,19,8,9.268687009811401
878,True,42,33,15,10.003973007202148
879,True,39,12,3,8.903881788253784
880,True,45,15,6,8.979680061340332
881,True,43,23,10,9.5141019821167
882,True,41,30,14,10.431056261062622
883,True,42,28,12,9.880701065063477
884,True,48,27,13,9.917415380477905
885,True,43,5,1,8.313689708709717
886,True,47,4,1,8.019620895385742
887,True,45,17,7,8.674862146377563
888,True,48,9,3,8.237030982971191
889,True,48,7,3,8.575711965560913
890,True,40,49,23,12.336336851119995
891,True,44,20,8,9.674375057220459
892,True,41,44,21,9.854299068450928
893,True,44,15,6,9.12392807006836
894,True,49,24,9,8.86106014251709
895,True,45,8,2,8.34012222290039
896,True,46,34,15,9.873656034469604
897,True,43,17,7,9.257402896881104
898,True,47,5,2,8.564414024353027
899,True,42,7,1,8.062437772750854
900,True,47,16,6,8.785356044769287
901,True,46,17,7,8.746512174606323
902,True,46,38,17,10.01545786857605
903,True,42,2,0,8.066980123519897
904,True,45,7,2,8.767812728881836
905,True,47,9,3,8.627127885818481
906,True,41,11,5,8.960068225860596
907,True,47,11,5,8.8160982131958
908,True,40,3,0,7.981273174285889
